word,politics,religious,sports,entertainment
﻿সন্ত্রাস,-12.641600215834359,0.0,0.0,0.0
বিরুদ্ধ,-9.834245293776753,0.0,0.0,-12.728133100306218
যুদ্ধপরবর্তী,-12.641600215834359,0.0,0.0,0.0
যুগ,-10.319672120946995,0.0,-11.71188202835209,0.0
তুরস্ক,-12.641600215834359,0.0,-11.71188202835209,0.0
একেপি,-11.641600215834359,0.0,0.0,0.0
তিউনিসিয়,-12.641600215834359,0.0,0.0,0.0
আন,-8.471675214392045,-7.565292520581023,-8.80499143274357,-9.027693382165124
নাহদা,-12.641600215834359,0.0,0.0,0.0
বৈশ্বিক,-12.641600215834359,0.0,0.0,0.0
ক্ষমতাকাঠামো,-12.641600215834359,0.0,0.0,0.0
জায়গা,-11.056637715113201,-11.69457553752599,-12.71188202835209,-10.406205005418855
উদারনৈতিক,-12.641600215834359,0.0,0.0,0.0
গণতন্ত্র,-8.393672702390772,0.0,0.0,0.0
পুঁজিবাদী,-12.641600215834359,0.0,0.0,0.0
অর্থনৈতিক,-11.056637715113201,-12.694575537525989,0.0,-11.728133100306218
নীতি,-7.997744026059632,-12.694575537525989,0.0,0.0
গ্রহণ,-10.319672120946995,-11.109613036804832,0.0,-11.14317059958506
সূত্র,-11.056637715113201,-11.109613036804832,-12.71188202835209,-12.728133100306218
আফগানিস্তানইরাক,-12.641600215834359,0.0,0.0,0.0
যুদ্ধ,-11.056637715113201,-12.694575537525989,0.0,-11.728133100306218
আর,-11.641600215834359,-8.887220615468385,-9.25245040971479,-9.558208098863904
বসন্তপরবর্তী,-11.641600215834359,0.0,0.0,0.0
সম,-6.969174873862861,-7.139986685848353,-7.188320072295075,-7.335815677527457
একেপির,-12.641600215834359,0.0,0.0,0.0
নাহদ,-11.641600215834359,0.0,0.0,0.0
সর্বব্যাপী,-12.641600215834359,0.0,0.0,0.0
উন্নয়ন,-10.319672120946995,0.0,0.0,0.0
ধারণা,-11.641600215834359,0.0,0.0,-12.728133100306218
সমাজ,-12.641600215834359,-12.694575537525989,0.0,0.0
শ্রেণির,-12.641600215834359,0.0,0.0,0.0
অংশগ্রহণ,-12.641600215834359,-12.694575537525989,0.0,0.0
সমেত,-12.641600215834359,0.0,0.0,0.0
রাজনৈতিক,-10.641600215834357,-12.694575537525989,0.0,-12.728133100306218
ভিত্তি,-12.641600215834359,-11.109613036804832,-11.126919527630932,-12.728133100306218
গঠন,-9.182168597197059,0.0,0.0,0.0
উদ্যোগ,-11.056637715113201,0.0,0.0,0.0
